State,Account_Length,International_Plan,Number_Vmail_Messages,Total_Day_Charge,Total_Eve_Charge,Total_Night_Charge,Total_Intl_Charge,Customer_Service_Calls,Total_Charge,Churn
AK,36,0,30,24.87,13.81,5.82,3.92,0,48.42,0
HI,85,0,0,40.09,13.36,8.47,3.24,0,65.16,0
VT,128,0,29,30.48,19.2,14.54,2.32,0,66.54,0
LA,155,0,0,34.58,16.23,8.82,2.4,0,62.03,1
MT,73,0,0,27.22,18.13,7.83,3.51,0,56.69,0
MA,108,0,0,30.31,16.07,5.81,3.94,0,56.13,0
AL,32,0,0,39.25,15.93,6.93,1.7,0,63.81,0
KY,45,0,22,33.42,26.62,7.35,3.21,0,70.6,0
WY,215,0,0,14.21,10.28,10.2,2.89,0,37.58,0
MI,86,0,41,20.23,19.55,10.66,2.57,0,53.01,0
MO,64,0,48,16.05,11.58,6.63,1.22,0,35.48,0
CT,199,0,34,39.2,18.65,13.47,2.16,0,73.48,0
RI,121,0,0,28.97,29.79,13.37,3.02,0,75.15,1
DE,148,0,0,21.15,15.27,11.39,3.05,0,50.86,0
SD,87,0,21,36.38,15.3,6.05,2.86,0,60.59,0
MA,35,0,0,17.95,21.95,9.59,2.35,0,51.84,0
TX,84,0,0,23.56,16.92,9.18,2.11,0,51.77,0
NE,85,0,0,44.17,20.6,7.6,1.46,0,73.83,0
AZ,117,0,0,40.78,14.86,9.43,2.65,0,67.72,0
TX,70,0,0,10.12,21.86,9.37,3,0,44.35,0
AL,85,0,0,21.74,23.05,9.1,3.38,0,57.27,0
SD,91,0,0,25.33,20.85,11.7,2.24,0,60.12,0
MI,139,0,20,36.48,19.98,7.33,4,0,67.79,0
MA,102,1,0,39.75,18.84,6.61,3.46,0,68.66,0
IN,78,0,0,35.51,21.45,12.61,3.46,0,73.03,0
NJ,95,0,22,6.95,11.34,11.89,3.21,0,33.39,0
OR,165,0,0,36.82,16.22,10.11,3.35,0,66.5,0
RI,150,0,29,35.68,13.43,6.39,1.78,0,57.28,0
WV,153,0,28,40.05,19.37,7.66,4.16,0,71.24,0
MN,55,0,0,29.85,13.75,13.03,2.51,0,59.14,0
MT,27,0,0,32.95,10.11,6.12,2.48,0,51.66,0
WV,107,0,0,20.93,13.46,11.52,2.51,0,48.42,0
WA,63,0,0,25.38,23.26,9.3,2.46,0,60.4,0
ME,151,0,26,33.41,14.94,9.98,3.62,0,61.95,0
TN,33,0,35,31.76,22.19,14.3,4.05,0,72.3,0
AZ,92,1,45,47.79,16.83,4.24,2.03,0,70.89,0
FL,143,0,0,20.25,24.45,10.04,3.29,0,58.03,0
IN,100,0,0,36.75,18.33,6.23,2.75,0,64.06,0
VT,124,0,0,30.33,19.86,8.07,3.24,0,61.5,0
VT,73,0,0,36.21,16.05,6.13,3.65,0,62.04,0
MS,114,0,34,26.25,18.82,9.38,2.78,0,57.23,0
DE,129,0,0,56.83,16.33,8.59,2.81,0,84.56,1
OK,52,0,38,28.78,19.2,7.74,2.21,0,57.93,0
ND,105,0,0,41.89,21.78,7.61,1.03,0,72.31,0
MN,116,0,0,34.31,19.68,10.17,4.46,0,68.62,0
KS,67,0,0,34.24,8.3,9.11,1.89,0,53.54,0
ME,80,0,0,54.79,18.87,7.33,1.81,0,82.8,1
AK,115,0,0,41.68,13.52,10.35,1.94,0,67.49,0
ID,118,0,0,23.87,15.9,9.36,2.13,0,51.26,0
MO,55,0,0,32.13,10.07,11.16,4.62,0,57.98,0
KS,159,0,19,31.3,16.53,10.15,4.56,0,62.54,0
MI,105,0,29,30.5,23.41,11.07,2.7,0,67.68,0
KS,128,0,0,17.56,20.9,7.25,1.73,0,47.44,0
IN,108,0,0,33.88,19.06,6.3,4.1,0,63.34,0
MO,86,0,0,14.2,18.79,15.74,3.4,0,52.13,0
IA,92,0,25,22.78,17.51,8.13,2.62,0,51.04,0
CT,144,1,35,29.72,18.67,11.51,3.46,0,63.36,0
IL,48,0,0,21.79,4.09,5.23,2.4,0,33.51,0
PA,101,1,0,32.93,15.86,10.04,3.13,0,61.96,0
NH,90,0,0,12.94,24.68,10.66,2.92,0,51.2,0
NJ,131,0,0,36.01,22.14,6.49,2.92,0,67.56,0
WY,71,0,0,41.43,5.1,8.5,3.05,0,58.08,0
MA,111,0,0,48.35,13.35,10.93,2.27,0,74.9,1
ND,51,0,0,38.62,16.52,10.95,4.02,0,70.11,0
NC,170,0,0,41.89,19.39,7.49,2.46,0,71.23,0
UT,103,0,0,32.27,9.82,8.61,3.29,0,53.99,0
WI,112,0,0,28.53,21.07,6.98,3.21,0,59.79,0
SD,95,0,20,28.17,18.33,10.95,2.65,0,60.1,0
TN,63,0,0,27.97,12.57,11.37,3.02,0,54.93,0
NH,121,0,35,32.95,16.8,9.85,1.59,0,61.19,0
AZ,72,0,0,46.31,9.17,8.35,3.43,0,67.26,0
FL,106,0,0,30.33,21,11.7,2.59,0,65.62,0
MS,70,0,0,25.23,22.7,6.82,2.4,0,57.15,0
AR,63,0,49,36.53,16.85,7.69,2.21,0,63.28,0
KY,112,0,0,28.99,16.42,8.46,3.02,0,56.89,0
NH,130,0,0,11.63,16.43,7.72,2.81,0,38.59,0
ID,138,1,17,38.28,14.74,6.56,3.16,0,62.74,0
NC,83,0,36,16.3,22.24,10.29,3.59,0,52.42,0
RI,134,0,0,24.09,17.48,9.83,2.38,0,53.78,0
WI,120,0,26,40.7,22.05,10.71,2.08,0,75.54,0
WY,62,0,0,29.31,19.59,10.27,2.97,0,62.14,0
AR,116,0,0,27.32,12.48,12.95,2.21,0,54.96,0
GA,133,0,0,38.66,6.22,5.14,1.27,0,51.29,0
NE,21,0,0,38.25,20.76,9.95,2.89,0,71.85,0
IN,101,0,42,35.56,13.57,8.17,2.57,0,59.87,0
OR,117,0,17,37.62,14.25,11.82,1.19,0,64.88,0
WA,97,0,0,46.94,17.09,10.41,2.4,0,76.84,1
HI,86,0,21,33.64,14.08,9.36,2.73,0,59.81,0
VT,195,0,36,39.39,19.13,9.08,3.27,0,70.87,0
HI,105,0,0,47.82,25.63,9.13,2.35,0,84.93,1
ND,71,0,0,40.46,23.67,8.69,3.19,0,76.01,1
NE,139,0,0,35.89,17.59,8.73,1.51,0,63.72,0
CO,98,0,0,40.15,16.1,6.91,3.59,0,66.75,0
CA,111,0,0,42.47,20.6,10.43,3.13,0,76.63,1
MS,69,0,27,45.7,20.96,12.24,4.43,0,83.33,0
ID,104,0,0,16.52,13.23,11.77,3.35,0,44.87,0
NY,122,0,0,24.75,24.2,10.27,3.29,0,62.51,0
CO,90,0,0,18.68,18.77,4.68,2.94,0,45.07,0
OH,95,0,23,27.25,17.2,8.6,2,0,55.05,0
IN,141,0,39,19.87,23.5,13.05,3.32,0,59.74,0
WA,111,0,0,25.87,11.66,8.37,2.65,0,48.55,0
TN,95,0,0,29.58,23.89,8.87,2.62,0,64.96,0
IL,183,0,0,18.41,15.61,7.95,3.65,0,45.62,0
GA,155,0,0,12.1,25.87,8.25,2.32,0,48.54,0
OR,165,0,33,18.97,18.13,12.04,4.32,0,53.46,0
AL,76,0,0,30.46,18.95,8.47,3.35,0,61.23,0
UT,138,0,0,35,21.85,9.4,3.27,0,69.52,0
MN,125,0,0,40.92,22.9,8.42,2.73,0,74.97,1
HI,171,0,0,32.27,14.76,11.57,2.78,0,61.38,0
WI,74,0,0,30.16,20.43,10.68,3.24,0,64.51,0
NH,90,0,42,32.86,22.38,9.65,3,0,67.89,0
TX,130,0,0,42.84,14.47,9.41,1.54,0,68.26,0
RI,155,1,0,27.73,24.79,4.34,3.02,0,59.88,0
OR,81,0,0,55.2,20.09,8.44,3.54,0,87.27,1
AZ,100,0,0,13.38,19.18,6.77,3.78,0,43.11,0
WV,87,0,0,9.86,5.74,8.37,3.11,0,27.08,0
WY,134,0,0,50.32,19.24,11.11,3.32,0,83.99,1
AR,185,0,19,26.74,21.9,8.57,2.59,0,59.8,0
CT,134,0,32,13.65,16.99,7.69,4.48,0,42.81,0
OH,165,0,0,35.6,23.27,6.76,3.46,0,69.09,0
UT,44,0,0,34.44,13.86,12.06,2.24,0,62.6,0
AL,72,0,0,28.31,22.19,11.82,3.59,0,65.91,0
PA,136,0,0,17.36,18.66,3.32,2.65,0,41.99,0
ID,113,0,30,31.25,15.59,10.58,3.13,0,60.55,0
SC,149,0,20,25.13,23.53,6.75,2.75,0,58.16,0
NE,95,0,0,9.89,17.18,9.47,2.81,0,39.35,0
OH,32,0,31,39.58,15.6,9.31,3.51,0,68,0
CO,57,0,0,14.6,16.48,10.42,2.73,0,44.23,0
MA,142,0,0,36.86,15.96,6.21,2.24,0,61.27,0
ME,57,0,0,37.59,20.12,11.35,2.57,0,71.63,0
DE,139,0,0,23.63,11.3,12.24,3.27,0,50.44,0
NJ,108,0,0,40.68,18.99,11.31,2.86,0,73.84,0
NH,123,0,0,38.08,17.91,10.44,0.57,0,67,0
LA,91,0,0,32.39,17.47,5.88,3.73,0,59.47,0
WV,73,0,0,40.85,13.81,10.44,3.21,0,68.31,0
NE,67,0,41,29.7,13.65,6.99,3.62,0,53.96,0
DC,93,0,22,52.05,16.12,10.81,3.16,0,82.14,0
NY,209,0,0,26.13,16.03,9.04,2.89,0,54.09,0
OK,112,0,0,28.22,6.34,11.16,1.7,0,47.42,0
KS,57,0,0,26.88,9.79,8.21,3.19,0,48.07,0
CA,127,0,0,18.34,15.9,9.83,0,0,44.07,0
CA,84,0,0,47.6,17.19,7.06,2.81,0,74.66,1
NJ,137,0,0,41.38,10.3,7.32,3.29,0,62.29,0
AL,118,1,0,37.98,18.75,9.18,1.7,0,67.61,0
MO,147,1,0,26.69,8.76,9.53,1.92,0,46.9,0
WV,141,1,37,43.96,18.87,14.69,3.02,0,80.54,0
RI,74,0,0,31.91,13.89,8.82,2.46,0,57.08,0
FL,147,0,0,26.37,20.37,9.4,2.86,0,59,0
AZ,130,0,0,31.11,6.2,8.18,2.57,0,48.06,0
VA,132,0,0,13.79,20.84,10.67,2.78,0,48.08,0
WY,57,0,39,36.21,16.24,8.22,2.57,0,63.24,0
MO,20,0,0,32.3,21.95,8.17,1.7,0,64.12,0
OK,57,0,25,30.06,16.58,9.61,2.24,0,58.49,0
